P187	-44.97516	-21.23135
P188	-44.97544	-21.23158
P189	-44.97572	-21.23179
P190	-44.97592	-21.23193
P191	-44.97317	-21.23178
P192	-44.97289	-21.23174
P193	-44.97264	-21.23165
P194	-44.97272	-21.23145
P195	-44.97277	-21.23119
P196	-44.97282	-21.23100
P197	-44.97292	-21.23079
P198	-44.97248	-21.23078
P199	-44.97215	-21.23078
P200	-44.97191	-21.23076
P201	-44.97164	-21.23067
P202	-44.97138	-21.23051
P203	-44.97117	-21.23041
P204	-44.97099	-21.23029
P205	-44.97061	-21.23015
P206	-44.97030	-21.23013
P207	-44.96989	-21.23014
P208	-44.96948	-21.23015
P209	-44.96907	-21.23016
P210	-44.96868	-21.23018
P211	-44.96828	-21.23020
P212	-44.96795	-21.23028
P213	-44.96764	-21.23041
P214	-44.96737	-21.23060
P215	-44.96713	-21.23079
P216	-44.96689	-21.23096
P217	-44.97316	-21.23053
P218	-44.97381	-21.22487
P219	-44.97360	-21.22504
P220	-44.97340	-21.22521
P221	-44.97317	-21.22539
P222	-44.97295	-21.22562
P223	-44.97270	-21.22766
P224	-44.97240	-21.22767
P225	-44.97210	-21.22770
P227	-44.97187	-21.22772
P228	-44.97166	-21.22775
P229 	-44.97140	-21.22769
P230	-44.97100	-21.22762
P231	-44.97071	-21.22750
P232	-44.97044	-21.22740
P233 	-44.97059	-21.22723
P234	-44.97080	-21.22704
P235	-44.97101	-21.22684
P236	-44.97131	-21.22669
P237	-44.97027	-21.22752
P238	-44.96988	-21.22750
P239	-44.96949	-21.22747
P240	-44.96923	-21.22745
P241	-44.96892	-21.22741
P242 	-44.96874	-21.22742
P243	-44.97606	-21.23169
P244	-44.97621	-21.23150
P245	-44.97643	-21.23125
P246	-44.97659	-21.23104
P248	-44.97217	-21.23185
P247	-44.97248	-21.23180
P249	-44.97185	-21.23188
P250	-44.97151	-21.23190
P251	-44.97117	-21.23191
P252	-44.97084	-21.23196
P253	-44.97051	-21.23198
P254 	-44.97019	-21.23194
P255	-44.97815	-21.22845
P256	-44.97826	-21.22849
P257	-44.97823	-21.22864
P258	-44.97815	-21.22574
P259	-44.97844	-21.22572
P260	-44.97857	-21.22847
P261	-44.97892	-21.22846
P262	-44.97162	-21.22655
P263	-44.97191	-21.22638
P264	-44.97217	-21.22619
P265	-44.97239	-21.22604
P266	-44.97263	-21.22588
P267	-44.97278	-21.22570
P268	-44.97554	-21.22997
P269	-44.97581	-21.23014
P270	-44.97611	-21.23035
P271	-44.97865	-21.22570
P272	-44.97887	-21.22567
P273	-44.97907	-21.22564
P274	-44.97929	-21.22561
P275	-44.97949	-21.22558
P276	-44.97968	-21.22555
P277	-44.97988	-21.22555
P278	-44.98008	-21.22556
P279	-44.98034	-21.22547
P280	-44.98047	-21.22564
P281	-44.98072	-21.22573
P282	-44.98096	-21.22583
P283	-44.98120	-21.22596
P284	-44.98142	-21.22608
P285	-44.98169	-21.22621
P286	-44.98195	-21.22635
P287	-44.98222	-21.22650
P288	-44.98248	-21.22664
P289	-44.98275	-21.22680
P290	-44.98289	-21.22651
P291	-44.98264	-21.22699
P292	-44.98249	-21.22723
P293	-44.98227	-21.22753
P294	-44.98218	-21.22771
P295	-44.98245	-21.22758
P296	-44.98261	-21.22764
P297	-44.98279	-21.22771
P298	-44.98298	-21.22780
P299	-44.98236	-21.22778
P300	-44.98252	-21.22785
P301	-44.98270	-21.22792
P302	-44.98291	-21.22796
P303	-44.98205	-21.22746
P304	-44.98173	-21.22734
P305	-44.98143	-21.22723
P306	-44.98110	-21.22719
P307	-44.98077	-21.22719
P308	-44.98046	-21.22721
P309	-44.98200	-21.22764
P310	-44.98167	-21.22751
P311	-44.98138	-21.22744
P312	-44.98107	-21.22741
P313	-44.98076	-21.22741
P314	-44.98046	-21.22741
P315	-44.98007	-21.22723
P316	-44.97970	-21.22726
P317	-44.97929	-21.22728
P318	-44.98009	-21.22743
P319	-44.97970	-21.22746
P320	-44.97929	-21.22749
P321	-44.97891	-21.22730
P322	-44.97892	-21.22749
P323	-44.98241	-21.22796
P324	-44.98224	-21.22807
P325	-44.98196	-21.22818
P326	-44.98164	-21.22835
P327	-44.98135	-21.22856
P328	-44.98107	-21.22863
P329	-44.98069	-21.22860
P330	-44.98036	-21.22855
P331	-44.98004	-21.22850
P332	-44.97974	-21.22848
P333	-44.97948	-21.22847
P334	-44.97922	-21.22846
P335	-44.98149	-21.22881
P336	-44.98166	-21.22901
P337	-44.98173	-21.22929
P338	-44.98183	-21.22954
P339	-44.98192	-21.22982
P340	-44.98166	-21.23000
P341	-44.98146	-21.23030
P342	-44.98123	-21.23051
P343	-44.98095	-21.23088
P344	-44.98055	-21.23104
P345	-44.98006	-21.23110
P346	-44.97824	-21.22885
P347	-44.97825	-21.22905
P348	-44.97822	-21.22924
P349	-44.97804	-21.22942
P350	-44.98351	-21.22806
P351	-44.98403	-21.22840
P352	-44.98439	-21.22864
P353	-44.98479	-21.22882
P354	-44.98519	-21.22895
P355	-44.98551	-21.22907
P356	-44.98585	-21.22907
P357	-44.98616	-21.22897
P358	-44.98330	-21.22835
P359	-44.98391	-21.22862
P360	-44.98041	-21.22517
P361	-44.98048	-21.22488
P362	-44.98058	-21.22457
P363	-44.98064	-21.22432
P364	-44.98073	-21.22405
P365	-44.98080	-21.22381
P366	-44.98640	-21.22880
P367	-44.98669	-21.22865
P368	-44.98694	-21.22852
P369	-44.98719	-21.22840
P370	-44.98742	-21.22829
P371	-44.98768	-21.22816
P372	-44.98795	-21.22807
P373	-44.98825	-21.22804
P374	-44.98846	-21.22821
P375	-44.98870	-21.22837
P376	-44.98888	-21.22853
P377	-44.98905	-21.22869
P378	-44.98923	-21.22887
P379	-44.98938	-21.22904
P380	-44.98956	-21.22919
P381	-44.98976	-21.22934
P382	-44.98997	-21.22955
P383	-44.99018	-21.22975
P384	-44.99047	-21.23002
P385	-44.99028	-21.23019
P386	-44.99010	-21.23005
P387	-44.98981	-21.22999
P388	-44.98953	-21.22999
P389	-44.98917	-21.23002
P390	-44.98885	-21.23007
P391	-44.98859	-21.23013
P392	-44.98997	-21.23021
P393	-44.98993	-21.23049
P394	-44.98996	-21.23074
P395	-44.99000	-21.23106
P398	-44.99079	-21.23020
P399	-44.99094	-21.22985
P400	-44.99098	-21.22939
P401	-44.99103	-21.22892
P402	-44.99116	-21.22853
P403	-44.99107	-21.23036
P404	-44.99136	-21.23041
P405	-44.99171	-21.23046
P406	-44.99206	-21.23050
P407	-44.99214	-21.23024
P408	-44.99224	-21.22999
P409	-44.99234	-21.22971
P410	-44.99251	-21.22943
P411	-44.99263	-21.22917
P412	-44.99265	-21.22895
P413	-44.99248	-21.22882
P414	-44.99229	-21.23079
P415	-44.99245	-21.23096
P416	-44.99272	-21.23116
P417	-44.99254	-21.23110
P418	-44.99283	-21.23142
P419	-44.99281	-21.23163
P420	-44.99282	-21.23189
P421	-44.99285	-21.23219
P422	-44.99302	-21.23234
P423	-44.99099	-21.23097
P424	-44.99087	-21.23142
P430	-44.97807	-21.22565
P431	-44.97803	-21.22540
P432	-44.97802	-21.22514
P433	-44.97798	-21.22488
P434	-44.97797	-21.22460
P435	-44.97792	-21.22434
P436	-44.97791	-21.22409
P437	-44.97787	-21.22385
P443	-44.97826	-21.22458
P444	-44.97856	-21.22455
P445	-44.97883	-21.22451
P446	-44.97913	-21.22448
P447	-44.97942	-21.22445
P448	-44.97982	-21.22442
P449	-44.97964	-21.22431
P450	-44.97962	-21.22416
P451	-44.98011	-21.22441
P452	-44.98036	-21.22440
P438	-44.97825	-21.22407
P439	-44.97857	-21.22400
P440	-44.97889	-21.22394
P442	-44.97922	-21.22389
P453	-44.98206	-21.22608
P454	-44.98218	-21.22591
P455	-44.98228	-21.22572
P456	-44.98240	-21.22550
P457	-44.98253	-21.22526
P458	-44.98270	-21.22504
P459	-44.98284	-21.22474
P460	-44.98828	-21.22786
P461	-44.98828	-21.22771
P462	-44.98832	-21.22759
P463	-44.98839	-21.22744
P464	-44.98849	-21.22731
P465	-44.97355	-21.22402
P466	-44.97355	-21.22402


!Pontos dos trafos
!Roniell
T26	-44.97497	-21.22777
T27	-44.97385	-21.22784
T28	-44.97328	-21.22785
T31	-44.97501	-21.22750
T53	-44.97487	-21.23025
T54	-44.97489	-21.23118
T55	-44.97576	-21.23182
T56	-44.97641	-21.23095
T57	-44.97414	-21.23098
T58	-44.97387	-21.23204
T59	-44.97540	-21.22604
T60	-44.97602	-21.22614
T61	-44.97710	-21.22592
T62	-44.97799	-21.22678
T63	-44.97800	-21.22708
T64	-44.97803	-21.22779
T65	-44.97804	-21.22806
T68	-44.97215	-21.23073
T69	-44.97331	-21.23027
T70	-44.97411	-21.22943
T71	-44.97449	-21.22902
T72	-44.97512	-21.22832
T73	-44.97436	-21.22711
T74	-44.97416	-21.22690
T75	-44.97426	-21.22643
T76	-44.97370	-21.22654
T77	-44.97187	-21.22766
T78	-44.97055	-21.22720
T79	-44.97164	-21.22660
T80	-44.96877	-21.22735
T81	-44.97235	-21.22539
T82	-44.97101	-21.22442
T83	-44.96830	-21.22101
T84	-44.96704	-21.22270
T85	-44.97343	-21.22526
T86	-44.97014	-21.23195
T87	-44.97605	-21.22742
T88	-44.97682	-21.22768
T89	-44.97712	-21.22738
T90	-44.97857	-21.22840
T91	-44.97627	-21.23018
T92	-44.97295	-21.22401
T93	-44.97395	-21.22397
T94	-44.97412	-21.22498
T95	-44.97471	-21.22552
T96	-44.97736	-21.22578
T97	-44.97737	-21.22856
T98	-44.97652	-21.22892
T99	-44.97580	-21.22945
T100	-44.97272	-21.23118
T101	-44.97102	-21.23025
T102	-44.96987	-21.23009


!Pontos dos trafos
!Alexandre UFLA
T103	-44.97926	-21.22551
T104	-44.98071	-21.22452
T105	-44.98174	-21.22612
T106	-44.98273	-21.22703
T107	-44.98264	-21.22755
T108	-44.98793	-21.22795
T109	-44.98934	-21.22878
T110	-44.99107	-21.22851
T111	-44.99204	-21.23022
T112	-44.99223	-21.22967
T113	-44.99277	-21.22893
T114	-44.99240	-21.22882
T115	-44.99234	-21.23101
T116	-44.99269	-21.23144
T117	-44.99267	-21.23227
T118	-44.99290	-21.23251
